Step,Seed,Total_Infected,Susc_S0_B0,Immun_S0_B0,Susc_S0_B1,Immun_S0_B1,Susc_S1_B0,Immun_S1_B0,Susc_S1_B1,Immun_S1_B1,Susc_S2_B0,Immun_S2_B0,Susc_S2_B1,Immun_S2_B1,Susc_S3_B0,Immun_S3_B0,Susc_S3_B1,Immun_S3_B1,replicate_uid,seed,n_sites,pop_size,n_steps,engine,pow,mutation_rate,contact_rate,recovery_rate,waning_rate,immune_strength,seed_count,immunity_floor,immunity_ceiling
33,1,0.04109,0.9408473372459412,0.025815073400735855,0.9589099884033203,0.0,0.9408541917800903,0.025805173441767693,0.9589030742645264,9.899999895424116e-06,0.9408473372459412,0.025815073400735855,0.9589099884033203,0.0,0.9408679008483887,0.025785673409700394,0.958889365196228,2.940299964393489e-05,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
34,1,0.04942,0.9290018677711487,0.030853355303406715,0.9505800008773804,0.0,0.9290087223052979,0.030843554064631462,0.9505731463432312,9.801000487641431e-06,0.9290088415145874,0.030843455344438553,0.9505730271339417,9.899999895424116e-06,0.9290292263031006,0.03081434778869152,0.9505526423454285,3.900896990671754e-05,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
35,1,0.05952,0.9147443175315857,0.036821600049734116,0.9404799938201904,0.0,0.9147511124610901,0.03681189566850662,0.940473198890686,9.702990610094275e-06,0.9147511124610901,0.036811795085668564,0.9404731392860413,9.801000487641431e-06,0.9147782325744629,0.03677307814359665,0.9404460787773132,4.851888297707774e-05,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
36,1,0.0706,0.8985493183135986,0.0441456064581871,0.9294000267982483,0.0,0.8985559940338135,0.04413600638508797,0.9293932914733887,9.60596116783563e-06,0.8985629677772522,0.044126011431217194,0.9293862581253052,1.9602990505518392e-05,0.8985897898674011,0.04408768191933632,0.9293594360351562,5.7933692005462945e-05,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
37,1,0.08343,0.879304051399231,0.05329268053174019,0.9165700078010559,0.0,0.8793176412582397,0.0532732717692852,0.9165564179420471,1.9409902961342596e-05,0.8793246150016785,0.05326337367296219,0.9165495038032532,2.9306960641406476e-05,0.8793581128120422,0.053215522319078445,0.9165160059928894,7.715435640420765e-05,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
38,1,0.09763,0.8583259582519531,0.06297754496335983,0.9023630619049072,9.899999895424116e-06,0.8583394289016724,0.06295832991600037,0.902349591255188,2.9115803044987842e-05,0.8583393096923828,0.06295843422412872,0.9023497104644775,2.901389052567538e-05,0.8584141135215759,0.06285165250301361,0.9022748470306396,0.0001357828004984185,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
39,1,0.11347,0.8339036107063293,0.07528035342693329,0.8865231275558472,9.801000487641431e-06,0.8339169025421143,0.07526132464408875,0.8865098357200623,2.882464468711987e-05,0.8339169025421143,0.0752614289522171,0.886509895324707,2.8723752620862797e-05,0.8339977860450745,0.07514583319425583,0.8864288926124573,0.00014432496391236782,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
40,1,0.13085,0.8068897724151611,0.08906439691781998,0.8691362738609314,1.9602990505518392e-05,0.8069099187850952,0.08903564512729645,0.8691161870956421,4.833640196011402e-05,0.8069028854370117,0.08904565125703812,0.869123101234436,3.833651862805709e-05,0.8070107102394104,0.08889155089855194,0.8690153360366821,0.0001923817180795595,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
41,1,0.15038,0.7767692804336548,0.1042451485991478,0.8495856523513794,4.9106958613265306e-05,0.7767683863639832,0.10424640774726868,0.849586546421051,4.785303462995216e-05,0.7767684459686279,0.10424639284610748,0.849586546421051,4.7853154683252797e-05,0.7768890857696533,0.10407406091690063,0.8494659662246704,0.00022015790455043316,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
42,1,0.17022,0.7447954416275024,0.12163083255290985,0.8297460079193115,4.8615893319947645e-05,0.7448084354400635,0.12161226570606232,0.8297329545021057,6.717450742144138e-05,0.7448015809059143,0.12162217497825623,0.8297399282455444,5.7274617574876174e-05,0.7449693083763123,0.12138225883245468,0.8295720815658569,0.0002971563662867993,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
43,1,0.1921,0.7095128297805786,0.14086180925369263,0.8078593611717224,5.802973100799136e-05,0.7095534205436707,0.14080381393432617,0.8078187704086304,0.00011600276047829539,0.7095188498497009,0.14085322618484497,0.8078533411026001,6.660187500528991e-05,0.7097059488296509,0.1405860036611557,0.8076663017272949,0.0003337848174851388,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
44,1,0.21225,0.673876941204071,0.1630735695362091,0.7877027988433838,6.734944327035919e-05,0.673937976360321,0.16298644244670868,0.7876418828964233,0.0001544427068438381,0.6739035844802856,0.16303536295890808,0.7876762747764587,0.00010553585161687806,0.674095630645752,0.1627609133720398,0.7874839901924133,0.00037994689773768187,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
45,1,0.23211,0.637688934803009,0.18654118478298187,0.767836332321167,7.657594687771052e-05,0.6377700567245483,0.18642525374889374,0.7677552103996277,0.00019249830802436918,0.637722373008728,0.18649347126483917,0.7678029537200928,0.00012428048648871481,0.6379125118255615,0.18622179329395294,0.767612636089325,0.00039594745612703264,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
46,1,0.24967,0.6020558476448059,0.21246832609176636,0.7502700090408325,8.571019134251401e-05,0.6021783351898193,0.21229314804077148,0.7501411437988281,0.00026977332890965044,0.6021100878715515,0.21239060163497925,0.7502091526985168,0.0001725376641843468,0.6023117303848267,0.21210262179374695,0.750014066696167,0.00045138795394450426,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
47,1,0.26637,0.5667916536331177,0.2391832023859024,0.7335359454154968,0.00013435307482723147,0.5669130682945251,0.239009827375412,0.7334083318710327,0.0003165756061207503,0.5668455958366394,0.23910628259181976,0.7334758043289185,0.00022031231492292136,0.5670589208602905,0.23880136013031006,0.733268678188324,0.000516174070071429,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
48,1,0.28045,0.5330550670623779,0.26748737692832947,0.7194222807884216,0.00018250953871756792,0.5331752896308899,0.26731568574905396,0.7192959189414978,0.0003629098064266145,0.5331082940101624,0.2674112021923065,0.719362735748291,0.00026760922628454864,0.5333472490310669,0.2670697867870331,0.7191299796104431,0.0006001123692840338,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
49,1,0.29045,0.5029134154319763,0.29648229479789734,0.7093957662582397,0.00022028446255717427,0.5030600428581238,0.29627278447151184,0.70924311876297,0.0004384807252790779,0.502959668636322,0.2964162230491638,0.7093368768692017,0.00030453313956968486,0.5032512545585632,0.29599958658218384,0.7090579867362976,0.0007030113483779132,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
50,1,0.29852,0.4744463264942169,0.3259578347206116,0.7013134360313416,0.00023788164253346622,0.47461238503456116,0.32571080327033997,0.7011412382125854,0.0004934958415105939,0.4744988977909088,0.32588252425193787,0.7012482285499573,0.00033118779538199306,0.4747959077358246,0.3254581093788147,0.700951099395752,0.0007553809555247426,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
51,1,0.30298,0.4498142600059509,0.355128675699234,0.6968551278114319,0.0002355027972953394,0.4500620365142822,0.3547653555870056,0.696601390838623,0.000607360852882266,0.449887216091156,0.35502445697784424,0.6967697143554688,0.0003575759183149785,0.45019522309303284,0.35458460450172424,0.6964618563652039,0.0007973272004164755,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
52,1,0.30415,0.42851823568344116,0.38426101207733154,0.6956660747528076,0.0002628477814141661,0.4288053810596466,0.3838316798210144,0.6953662633895874,0.0007101874798536301,0.4285973906517029,0.3841479420661926,0.6955745220184326,0.0003936000866815448,0.4289582669734955,0.3836326599121094,0.6952074766159058,0.0009180541965179145,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
53,1,0.30248,0.4106147289276123,0.4126212000846863,0.6973101496696472,0.00029981933766976,0.4109554588794708,0.4121158719062805,0.696951150894165,0.0008317857282236218,0.41067996621131897,0.41252821683883667,0.6972264647483826,0.00041936407797038555,0.41105934977531433,0.411977618932724,0.6968414187431335,0.0009781732223927975,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
54,1,0.29688,0.3966014087200165,0.4411720335483551,0.7029052972793579,0.00030672113643959165,0.39700210094451904,0.4405810832977295,0.7024735808372498,0.0009422677103430033,0.39668044447898865,0.4410591721534729,0.7028016448020935,0.0004547705175355077,0.3971187472343445,0.44041621685028076,0.7023642063140869,0.0010970914736390114,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
55,1,0.28794,0.38633155822753906,0.4689219892024994,0.7118335962295532,0.0003234538889955729,0.38676461577415466,0.4682767987251282,0.7113633751869202,0.0010219449177384377,0.38643115758895874,0.4687795639038086,0.7117033004760742,0.0005096227978356183,0.38689905405044556,0.46809443831443787,0.7112421989440918,0.0011851208982989192,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
56,1,0.2787,0.37834376096725464,0.4940173327922821,0.7210615873336792,0.0003598193870857358,0.3788416385650635,0.4932992458343506,0.7205271124839783,0.0011305254884064198,0.3784414827823639,0.4938969910144806,0.7209399342536926,0.000514426501467824,0.37894752621650696,0.4931568503379822,0.7204285264015198,0.0012623702641576529,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
57,1,0.2675,0.3727872371673584,0.5183318853378296,0.7322361469268799,0.0003958211455028504,0.37331393361091614,0.51758873462677,0.7316673994064331,0.0011984207667410374,0.3728969991207123,0.518193781375885,0.7321088910102844,0.0005587823688983917,0.37341824173927307,0.5174303650856018,0.7315812706947327,0.0013388459337875247,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
58,1,0.2558,0.36940622329711914,0.5402830839157104,0.7439179420471191,0.0004215629305690527,0.3699849247932434,0.5394663214683533,0.7432928085327148,0.0013052360154688358,0.3695026934146881,0.5401541590690613,0.7437918782234192,0.0005927944439463317,0.3700540363788605,0.5393579602241516,0.7432423233985901,0.001394757884554565,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
59,1,0.2423,0.36818909645080566,0.5615736842155457,0.7574140429496765,0.000427247432526201,0.36881694197654724,0.5606951713562012,0.7567330598831177,0.001381284324452281,0.3682916760444641,0.5614262223243713,0.7572819590568542,0.0006165665690787137,0.36888137459754944,0.5605766773223877,0.7566813826560974,0.0014897104119881988,80d86c02b82248d79a9880113ff703e9,1,4,100000,1200,numpy,1.0,1e-05,0.35,0.1,0.01,0.7,2,0.05,1.0
